Product,Width,Length,Height,Quantity,Component,Quantity Needed,Unit Price,Cost,Total Cost
lg1,300.0,200.0,,1,Outer Frame Extruded Aluminum,1.38,3.3,4.553999999999999,
,,,,,Extruded Aluminum Blade,3.8,2.0,7.6,
,,,,,Extruded Aluminum Pipe 8 mm,0.3,1.2,0.36,
,,,,,Galvanized Corner,4,0.5,2.0,
,,,,,Accessories,1,3,3,
,,,,,Powder Weight,0.03,20,0.6,
,,,,,,,,,18.114

Product,Width,Length,Height,Quantity,Component,Quantity Needed,Unit Price,Cost,Total Cost
lg1,300.0,200.0,,3,Outer Frame Extruded Aluminum,4.14,3.3,13.661999999999999,
,,,,,Extruded Aluminum Blade,11.399999999999999,2.0,22.799999999999997,
,,,,,Extruded Aluminum Pipe 8 mm,0.8999999999999999,1.2,1.0799999999999998,
,,,,,Galvanized Corner,12,0.5,6.0,
,,,,,Accessories,3,3,9,
,,,,,Powder Weight,0.09,20,1.7999999999999998,
,,,,,,,,,54.342

